Airport, CitySt, Date, Time, Weather
KFOD,JONES IOWA,2019-12-10,21:47,KFOD 102140Z AUTO 28008KT 10SM BKN024 M11/M15 A3029 RMK T11101150 MADISHFFOD
KY50,MARQUETTE WISCONSIN,2019-12-10,07:53,KY50 100756Z AUTO 29016G19KT 9SM -SN OVC018 M10/M13 A2989 RMK AO2 SLP132 P0000 T11001128 FZRANO $Y50
KFDK,FREDERICK MARYLAND,2019-12-10,05:42,KFDK 100540Z AUTO 20005KT 10SM OVC011 10/09 A2977 RMK AO2FDK
KMNM,MENOMINEE MICHIGAN,2019-12-10,02:51,KMNM 100250Z AUTO 33013KT 9SM -SN BKN060 BKN075 OVC100 M06/M08 A2961 RMK T10601080 MADISHFMNM
KRMG,CHATTOOGA GEORGIA,2019-12-10,12:07,KRMG 101200Z AUTO 00000KT 1 1/2SM BR SCT003 BKN036 OVC060 14/13 A2990 RMK T01400130 MADISHFRMG
KHZY,TRUMBULL OHIO,2019-12-10,05:40,KHZY 100540Z AUTO ///17KT 10SM BKN019 OVC027 11/09 A2959 RMK T01100090 MADISHFHZY
KCGI,JACKSON MISSOURI,2019-12-10,11:36,KCGI 101130Z AUTO 34014KT 10SM CLR M01/M08 A3019 RMK T10101080 MADISHFCGI
KYNG,WARREN OHIO,2019-12-10,17:07,KYNG 101700Z AUTO 27013KT 10SM OVC021 01/M04 A2994 RMK T00101040 MADISHFYNG
KMSN,PIERCE WISCONSIN,2019-12-10,04:32,KMSN 100430Z AUTO 31011KT 9SM -SN OVC023 M06/M10 A2979 RMK T10601100 MADISHFMSN
KHLC,GOVE KANSAS,2019-12-10,12:00,KHLC 101200Z AUTO 29002KT 10SM CLR M07/M09 RMK T10701090 MADISHFHLC
KMBS,ARENAC MICHIGAN,2019-12-10,04:00,KMBS 100400Z AUTO 25020KT 10SM SCT018 BKN025 OVC042 05/01 A2946 RMK T00500010 MADISHFMBS
KMKT,TRAVERSE MINNESOTA,2019-12-10,11:15,KMKT 101120Z AUTO 28005KT 10SM BKN070 M18/M20 A3011 RMK T11801200 MADISHFMKT
KMNM,MENOMINEE MICHIGAN,2019-12-10,04:47,KMNM 100440Z AUTO 33010KT 9SM -SN FEW019 OVC065 M08/M11 A2970 RMK T10801110 MADISHFMNM
KHIB,STEVENS MINNESOTA,2019-12-10,16:50,KHIB 101650Z AUTO 31009KT 2SM HZ OVC009 M21/M24 A3006 RMK T12101240 MADISHFHIB
KBMG,SPENCER INDIANA,2019-12-10,08:30,KBMG 100830Z AUTO 28011KT 10SM OVC016 M01/M06 A2996 RMK T10101060 MADISHFBMG
KY50,MARQUETTE WISCONSIN,2019-12-10,20:22,KY50 102020Z AUTO 26011KT 10SM CLR M09/M17 A3013 RMK T10901170 MADISHFY50
KMSL,LAUDERDALE ALABAMA,2019-12-10,03:52,KMSL 100350Z AUTO 20007KT 10SM FEW026 SCT100 19/17 A2987 RMK T01900170 MADISHFMSL
