Airport, CitySt, Weather, Time
KIOW,BUCHANAN IOWA,KIOW 111600Z AUTO 11014KT 6SM HZ OVC009 M02/M05 A3010 RMK T10201050 MADISHFIOW,16:00
KLSE,HOUSTON MINNESOTA,KLSE 111900Z AUTO 07010KT 10SM OVC016 M03/M07 A3012 RMK T10301070 MADISHFLSE,19:00
KRWF,REDWOOD MINNESOTA,KRWF 200100Z AUTO 14010KT 10SM BKN075 OVC090 M13/M16 A3036 RMK T11301160 MADISHFRWF,01:00
KDBQ,DUBUQUE IOWA,KDBQ 111700Z AUTO 07014G20KT 4SM BR OVC004 M03/M04 A3009 RMK T10301040 MADISHFDBQ,17:00
KMSN,VILAS WISCONSIN,KMSN 070200Z AUTO 05010KT 6SM -FZDZ BR OVC008 M03/M04 A2998 RMK T10301040 MADISHFMSN,02:00
KGRB,ONEIDA WISCONSIN,KGRB 070200Z AUTO 04005KT 10SM OVC013 M05/M08 A3006 RMK T10501080 MADISHFGRB,02:00
KIMT,FLORENCE WISCONSIN,KIMT 070200Z AUTO 07003KT 10SM BKN013 OVC024 M06/M09 RMK T10601090 VRB03KT  MADISHFIMT,02:00
KCXY,DAUPHIN PENNSYLVANIA,KCXY 200800Z AUTO 14003KT 10SM CLR M01/M12 A3057 RMK T10101120 MADISHFCXY,08:00
KSEG,NORTHUMBERLAND PENNSYLVANIA,KSEG 200800Z AUTO 00000KT 10SM CLR M03/M08 A3056 RMK T10301080 MADISHFSEG,08:00
KVSF,WINDSOR VERMONT,KVSF 121700Z AUTO 00000KT 10SM OVC090 M09/M19 A3039 RMK T10901190 MADISHFVSF,17:00
KMIW,GRUNDY IOWA,KMIW 162300Z AUTO 08011KT 10SM CLR M07/M11 A2993 RMK T10701110 MADISHFMIW,23:00
KHIB,SCOTT MINNESOTA,KHIB 200200Z AUTO 20005KT 10SM CLR M11/M18 A3027 RMK T11101180 MADISHFHIB,02:00
KFOD,JONES IOWA,KFOD 111600Z AUTO 09012KT 6SM BR OVC011 M04/M06 A3003 RMK T10401060 MADISHFFOD,16:00
KSUE,LINCOLN WISCONSIN,KSUE 070200Z AUTO 01008KT 10SM OVC012 M08/M09 A3006 RMK T10801090 MADISHFSUE,02:00
KCXY,BERKS PENNSYLVANIA,KCXY 111900Z AUTO 11004KT 3SM HZ BKN014 BKN018 OVC026 01/M02 A3025 RMK T00101020 MADISHFCXY,19:00
KLNS,COLUMBIA PENNSYLVANIA,KLNS 200800Z AUTO 08003KT 10SM CLR M01/M06 A3057 RMK T10101060 MADISHFLNS,08:00
KALO,BUTLER IOWA,KALO 162300Z AUTO 07011KT 10SM CLR M06/M11 A2998 RMK T10601110 MADISHFALO,23:00
KLSE,TREMPEALEAU WISCONSIN,KLSE 061820Z AUTO 36007KT 10SM OVC012 M03/M06 A2998 RMK T10301060 MADISHFLSE,18:20
KCWI,CLINTON IOWA,KCWI 111700Z AUTO 10015KT 7SM OVC008 M01/M03 A3009 RMK T10101030 MADISHFCWI,17:00
KHTL,ALGER MICHIGAN,KHTL 240100Z AUTO ///12G18KT 2SM -FZRA BR OVC007 M01/M02 A2979 RMK P0000 T10101020 CIG 5V11  MADISHFHTL,01:00
KAUW,MARATHON WISCONSIN,KAUW 070200Z AUTO 08007KT 10SM OVC011 M05/M07 A3000 RMK T10501070 MADISHFAUW,02:00
KMTW,KEWAUNEE WISCONSIN,KMTW 070200Z AUTO 35008KT 10SM OVC011 M06/M08 A3006 RMK T10601080 MADISHFMTW,02:00
KMPO,LEHIGH PENNSYLVANIA,KMPO 112100Z AUTO 10004KT 10SM BKN028 OVC037 M02/M08 A3019 RMK T10201080 MADISHFMPO,21:00
KCMX,KEWEENAW MICHIGAN,KCMX 040400Z AUTO 03011G16KT 10SM OVC004 M08/M10 A2982 RMK T10801100 MADISHFCMX,04:00
KCMX,KEWEENAW MICHIGAN,KCMX 240200Z AUTO 10009KT 4SM BR OVC002 M02/M04 A2970 RMK T10201040 MADISHFCMX,02:00
KOSH,WINNEBAGO WISCONSIN,KOSH 070200Z AUTO 05011KT 10SM SCT007 OVC014 M06/M08 A3004 RMK T10601080 MADISHFOSH,02:00
KMTW,MANITOWOC WISCONSIN,KMTW 070200Z AUTO 35008KT 10SM OVC011 M06/M08 A3006 RMK T10601080 MADISHFMTW,02:00
KJST,CAMBRIA PENNSYLVANIA,KJST 111500Z AUTO 00000KT 2SM -SN BR OVC004 00/M01 A3012 RMK T00001010 MADISHFJST,15:00
KJST,SOMERSET PENNSYLVANIA,KJST 111500Z AUTO 00000KT 2SM -SN BR OVC004 00/M01 A3012 RMK T00001010 MADISHFJST,15:00
KAMW,STORY IOWA,KAMW 162200Z AUTO 07007KT 10SM CLR M07/M12 A2995 RMK T10701120 MADISHFAMW,22:00
KMIW,MARSHALL IOWA,KMIW 162200Z AUTO 06012KT 10SM CLR M07/M11 A2995 RMK T10701110 MADISHFMIW,22:00
KCNK,RICE KANSAS,KCNK 190910Z AUTO 00000KT 7SM OVC110 M12/M13 A3045 RMK T11201130 MADISHFCNK,09:05
KHUT,MCPHERSON KANSAS,KHUT 190940Z AUTO 07008KT 9SM FEW120 M06/M08 A3037 RMK T10601080 MADISHFHUT,09:40
KTXK,DODDRIDGE WEST VIRGINIA,KTXK 010300Z AUTO 15006KT 10SM BKN050 OVC090 11/06 A3012 RMK T01100060 MADISHFTXK,03:00
KAOO,BEDFORD PENNSYLVANIA,KAOO 111500Z AUTO 00000KT 2SM -SN BR SCT018 OVC031 M02/M03 A3020 RMK T10201030 MADISHFAOO,15:00
KLNR,RICHLAND WISCONSIN,KLNR 111800Z AUTO 07017KT 10SM OVC015 M03/M06 A3013 RMK T10301060 MADISHFLNR,18:00
KLNS,LANCASTER PENNSYLVANIA,KLNS 111600Z AUTO 00000KT 1 1/2SM -SN BR OVC033 M01/M02 A3028 RMK T10101020 MADISHFLNS,16:00
KMIW,UNION IOWA,KMIW 162000Z AUTO 07008KT 10SM CLR M08/M12 A3001 RMK T10801120 MADISHFMIW,20:00
KLSE,TREMPEALEAU WISCONSIN,KLSE 112000Z AUTO 08007KT 10SM OVC018 M03/M07 A3011 RMK T10301070 MADISHFLSE,20:00
KMGW,CUMBERLAND PENNSYLVANIA,KMGW 111600Z AUTO 00000KT 7SM -RA FEW004 OVC016 04/03 A3017 RMK T00400030 MADISHFMGW,16:00
KCXY,DAUPHIN PENNSYLVANIA,KCXY 111600Z AUTO 09004KT 1SM -SN BR BKN009 OVC030 M01/M03 A3028 RMK T10101030 MADISHFCXY,16:00
KMNM,MENOMINEE MICHIGAN,KMNM 051400Z AUTO 35010KT 10SM OVC021 M11/M15 A3021 RMK T11101150 MADISHFMNM,14:00
KMSN,PIERCE WISCONSIN,KMSN 200200Z AUTO 00000KT 10SM CLR M07/M11 A3039 RMK T10701110 MADISHFMSN,02:00
KMTV,CRAIG VIRGINIA,KMTV 191010Z AUTO 35005KT 10SM CLR 00/M05 A3052 RMK AO2 T10051051MTV,10:10
KROA,ROANOKE VIRGINIA,KROA 191020Z AUTO 36003KT 10SM BKN039 00/M07 A3052 RMK T00001070 MADISHFROA,10:20
KLYH,BEDFORD VIRGINIA,KLYH 191050Z AUTO 00000KT 10SM CLR M02/M05 A3051 RMK T10201050 MADISHFLYH,10:45
KROA,BOTETOURT VIRGINIA,KROA 191050Z AUTO 00000KT 10SM OVC039 01/M07 A3052 RMK T00101070 MADISHFROA,10:50
KTHV,YORK PENNSYLVANIA,KTHV 111600Z AUTO 06003KT 1SM -SN BR SCT006 BKN019 OVC031 M01/M02 A3027 RMK T10101020 MADISHFTHV,16:00
KEST,EMMET IOWA,KEST 192200Z AUTO 10005KT 8SM SCT120 M12/M14 A3034 RMK T11201140 MADISHFEST,22:00
KCID,MARION IOWA,KCID 111500Z AUTO 09015KT 4SM BR OVC009 M04/M05 A3007 RMK T10401050 MADISHFCID,15:00
KDDH,BENNINGTON VERMONT,KDDH 121000Z AUTO 00000KT 10SM CLR M11/M16 A3038 RMK T11101160 MADISHFDDH,10:00
KCMX,ONTONAGON MICHIGAN,KCMX 071200Z AUTO 07008KT 6SM -SN FEW024 OVC065 M07/M09 A3000 RMK T10701090 MADISHFCMX,12:00
KCMX,KEWEENAW MICHIGAN,KCMX 070500Z AUTO 02006KT 10SM OVC012 M08/M11 A3006 RMK T10801110 MADISHFCMX,05:00
KFCM,CARVER MINNESOTA,KFCM 200200Z AUTO 14003KT 10SM CLR M10/M16 A3036 RMK T11001160 MADISHFFCM,02:00
KEAU,CHIPPEWA WISCONSIN,KEAU 200400Z AUTO 05003KT 9SM CLR M13/M16 A3032 RMK T11301160 MADISHFEAU,04:00
KLSE,HOUSTON MINNESOTA,KLSE 232100Z AUTO 05005KT 2SM BR OVC007 02/00 A2976 RMK T00200000 MADISHFLSE,21:00
KBRL,KOSSUTH IOWA,KBRL 192200Z AUTO 08009KT 10SM OVC090 M01/M07 A3038 RMK T10101070 MADISHFBRL,22:00
KRFD,WINNEBAGO ILLINOIS,KRFD 051700Z AUTO 10012KT 10SM OVC016 M03/M07 A3017 RMK T10301070 MADISHFRFD,17:00
KLSE,DAKOTA MINNESOTA,KLSE 200200Z AUTO 32003KT 10SM BKN120 M12/M16 A3039 RMK T11201160 MADISHFLSE,02:00
KPHF,CARROLL VIRGINIA,KPHF 192050Z AUTO 05009KT 10SM CLR 03/M05 A3056 RMK T00301050 MADISHFPHF,20:50
KBLF,BLAND VIRGINIA,KBLF 192120Z AUTO 08006KT 10SM CLR 03/M06 A3039 RMK T00301060 MADISHFBLF,21:15
KAOO,HUNTINGDON PENNSYLVANIA,KAOO 111600Z AUTO 00000KT 5SM BR FEW019 OVC043 M01/M03 A3019 RMK T10101030 MADISHFAOO,16:00
KEAU,DUNN WISCONSIN,KEAU 112300Z AUTO 08010KT 10SM OVC016 M05/M08 A3012 RMK T10501080 MADISHFEAU,23:00
KEAU,RUSK WISCONSIN,KEAU 200430Z AUTO 02003KT 9SM CLR M13/M16 A3031 RMK T11301160 MADISHFEAU,04:30
KLNS,LANCASTER PENNSYLVANIA,KLNS 200800Z AUTO 08003KT 10SM CLR M01/M06 A3057 RMK T10101060 MADISHFLNS,08:00
KRDG,SCHUYLKILL PENNSYLVANIA,KRDG 200800Z AUTO 00000KT 10SM CLR M02/M07 A3057 RMK T10201070 MADISHFRDG,08:00
KLWV,JACKSON ILLINOIS,KLWV 151600Z AUTO 33012KT 10SM CLR M03/M09 A3000 RMK T10301090 MADISHFLWV,16:00
KAMW,STORY IOWA,KAMW 111500Z AUTO /////KT 4SM BR OVC009 M04/M06 A3004 RMK T10401060 MADISHFAMW,15:00
KMIW,MARSHALL IOWA,KMIW 111500Z AUTO 10014KT 4SM BR OVC008 M04/M06 A3005 RMK T10401060 MADISHFMIW,15:00
KBWI,CARROLL MARYLAND,KBWI 102100Z AUTO 07009KT 10SM OVC110 02/M08 A3048 RMK T00201080 MADISHFBWI,21:00
KEAU,CHIPPEWA WISCONSIN,KEAU 120100Z AUTO 07009KT 10SM OVC016 M05/M08 A3009 RMK T10501080 MADISHFEAU,01:00
KVSF,WINDSOR VERMONT,KVSF 011600Z AUTO 06004KT 10SM CLR M07/M12 A2998 RMK T10701120 MADISHFVSF,16:00
KCWI,LYON IOWA,KCWI 261600Z AUTO 09014KT 10SM CLR 05/01 A2981 RMK T00500010 MADISHFCWI,16:00
KSUX,DIXON NEBRASKA,KSUX 261430Z AUTO 06011G17KT 10SM BKN019 BKN095 01/M02 A2976 RMK T00101020 MADISHFSUX,14:30
KEST,EMMET IOWA,KEST 261800Z AUTO 05013KT 10SM OVC016 01/M03 A2978 RMK T00101030 MADISHFEST,18:00
KMML,NORMAN MINNESOTA,KMML 101800Z AUTO 34015KT 4SM -RA BR BKN004 OVC013 04/04 A2979 RMK T00400040 CIG 3V8  MADISHFMML,18:00
KBTL,BEADLE SOUTH DAKOTA,KBTL 282100Z AUTO 31004G16KT 10SM OVC019 02/M02 A3042 RMK T00201020 MADISHFBTL,21:00
KHTL,ALGER MICHIGAN,KHTL 120800Z AUTO 19005KT 10SM SCT100 BKN120 M12/M14 A3045 RMK T11201140 MADISHFHTL,08:00
KLWD,SALINE MISSOURI,KLWD 150900Z AUTO 02005KT 10SM CLR M10/M12 A3003 RMK T11001120 MADISHFLWD,09:00
KMKC,RANDOLPH MISSOURI,KMKC 150900Z AUTO 08005KT 10SM BKN085 OVC110 M04/M09 A3002 RMK T10401090 MADISHFMKC,09:00
KMNM,MENOMINEE MICHIGAN,KMNM 120600Z AUTO 28002KT 10SM OVC110 M17/M21 A3047 RMK T11701210 MADISHFMNM,06:00
KPOF,BUCHANAN MISSOURI,KPOF 150700Z AUTO 03007KT 10SM OVC016 02/M02 A3004 RMK T00201020 MADISHFPOF,07:00
KIRK,CLAY MISSOURI,KIRK 150700Z AUTO 00000KT 10SM SCT120 M07/M09 A3004 RMK T10701090 MADISHFIRK,07:00
KCGI,JACKSON MISSOURI,KCGI 150700Z AUTO 35002KT 7SM OVC018 01/M03 A3004 RMK T00101030 MADISHFCGI,07:00
KMML,COTTONWOOD MINNESOTA,KMML 090700Z AUTO 14015KT 4SM BR OVC004 M01/M02 A2982 RMK T10101020 MADISHFMML,07:00
KSTJ,ATCHISON KANSAS,KSTJ 150700Z AUTO 05005KT 10SM BKN070 OVC079 M05/M11 A3004 RMK T10501110 MADISHFSTJ,07:00
KMCI,LEAVENWORTH KANSAS,KMCI 150700Z AUTO 04004KT 10SM BKN085 OVC100 M04/M09 A3002 RMK T10401090 MADISHFMCI,07:00
KHSI,BLAINE NEBRASKA,KHSI 271800Z AUTO 00000KT 10SM CLR 02/M01 A3017 RMK T00201010 MADISHFHSI,18:00
KEAR,KEARNEY NEBRASKA,KEAR 260800Z AUTO 03011KT 10SM BKN070 M02/M04 A2971 RMK T10201040 MADISHFEAR,08:00
KHSI,CLAY NEBRASKA,KHSI 260900Z AUTO 07007KT 10SM FEW070 A2972 RMK T1010 MADISHFHSI,09:00
KARR,MONTGOMERY ILLINOIS,KARR 151030Z AUTO 29008KT 8SM OVC015 M07/M11 A3002 RMK T10701110 MADISHFARR,10:30
KMSN,VILAS WISCONSIN,KMSN 010100Z AUTO 11013KT 2 1/2SM -RA BR OVC007 02/02 A2947 RMK T00200020  OCNL LTGIC OHD TS OHD MOV NE MADISHFMSN,01:00
KAZO,OTSEGO MICHIGAN,KAZO 010100Z AUTO 10011G19KT 10SM OVC016 03/M01 A2969 RMK T00301010 MADISHFAZO,01:00
KFNB,DAWSON NEBRASKA,KFNB 260800Z AUTO 36004KT 10SM CLR 02/M02 A2971 RMK T00201020 MADISHFFNB,08:00
KODX,GREELEY NEBRASKA,KODX 260900Z AUTO 04004KT 10SM FEW110 M01/M04 A2973 RMK T10101040 MADISHFODX,09:00
KOFK,PIERCE NEBRASKA,KOFK 282030Z AUTO 02007KT 2SM BR OVC003 02/01 A2967 RMK T00200010 MADISHFOFK,20:30
KMNM,MENOMINEE MICHIGAN,KMNM 010100Z AUTO ///20KT 8SM -SN OVC009 01/M01 A2975 RMK T00101010 CIG 7V13  MADISHFMNM,01:00
KHTL,ALGER MICHIGAN,KHTL 010100Z AUTO 09014KT 10SM OVC065 M01/M04 A2982 RMK T10101040 MADISHFHTL,01:00
KMBL,MANISTEE MICHIGAN,KMBL 010100Z AUTO 10011G17KT 10SM -RA OVC048 01/M02 A2973 RMK T00101020 MADISHFMBL,01:00
KGRI,HOWARD NEBRASKA,KGRI 260900Z AUTO 05007KT 10SM FEW075 M03/M05 A2975 RMK T10301050 MADISHFGRI,09:00
KPKD,HUBBARD MINNESOTA,KPKD 082100Z AUTO 02009KT 10SM OVC011 M05/M08 A2979 RMK T10501080 MADISHFPKD,21:00
KHIB,STEVENS MINNESOTA,KHIB 280500Z AUTO 20005KT 4SM BR OVC004 M08/M09 A3009 RMK T10801090 VRB05KT  MADISHFHIB,05:00
KHUT,MCPHERSON KANSAS,KHUT 150300Z AUTO 00000KT 10SM CLR M01/M06 A2993 RMK T10101060 MADISHFHUT,03:00
KHTL,ROSCOMMON MICHIGAN,KHTL 010100Z AUTO 09014KT 10SM OVC065 M01/M04 A2982 RMK T10101040 MADISHFHTL,01:00
KHTL,GLADWIN MICHIGAN,KHTL 010100Z AUTO 09014KT 10SM OVC065 M01/M04 A2982 RMK T10101040 MADISHFHTL,01:00
KCMI,BOND ILLINOIS,KCMI 151200Z AUTO 27004KT 10SM CLR M09/M10 A3009 RMK T10901100 MADISHFCMI,12:00
KEAU,RUSK WISCONSIN,KEAU 300100Z AUTO 25004KT 10SM OVC025 04/01 A2945 RMK T00400010 MADISHFEAU,01:00
KEAU,CHIPPEWA WISCONSIN,KEAU 300100Z AUTO 25004KT 10SM OVC025 04/01 A2945 RMK T00400010 MADISHFEAU,01:00
KCMX,ONTONAGON MICHIGAN,KCMX 090700Z AUTO 06011KT 10SM OVC012 M07/M11 A2982 RMK T10701110 MADISHFCMX,07:00
KDKK,CATTARAUGUS NEW YORK,KDKK 141500Z AUTO 01007KT 4SM -RA BR OVC003 04/03 A2946 RMK P0000 T00400030 MADISHFDKK,15:00
KODX,GREELEY NEBRASKA,KODX 282100Z AUTO 35007KT 10SM OVC007 01/00 A2964 RMK T00100000 MADISHFODX,21:00
KMKT,TRAVERSE MINNESOTA,KMKT 280600Z AUTO 12005KT 10SM CLR M04/M05 A3012 RMK T10401050 MADISHFMKT,06:00
KGRI,HOWARD NEBRASKA,KGRI 282100Z AUTO 01007KT 4SM BR OVC002 03/02 A2963 RMK T00300020 MADISHFGRI,21:00
KFNB,DAWSON NEBRASKA,KFNB 282100Z AUTO /////KT A2959 RMK P0000 MADISHFFNB,21:00
KEAR,KEARNEY NEBRASKA,KEAR 282100Z AUTO 36013KT 7SM -RA OVC002 02/01 A2962 RMK T00200010 MADISHFEAR,21:00
KIRK,CRAWFORD MISSOURI,KIRK 151100Z AUTO /////KT 10SM CLR M08/M11 A3004 RMK T10801110 MADISHFIRK,11:00
KMSN,PIERCE WISCONSIN,KMSN 300800Z AUTO 25004KT 10SM -RA FEW012 SCT018 OVC039 03/02 A2937 RMK T00300020 MADISHFMSN,08:00
KMNM,MENOMINEE MICHIGAN,KMNM 300600Z AUTO 06011KT 1/2SM -RA FG OVC003 03/03 A2945 RMK T00300030 MADISHFMNM,06:00
KHUT,MCPHERSON SOUTH DAKOTA,KHUT 280300Z AUTO 12010KT 1SM BR VV002 04/04 A2993 RMK T00400040 MADISHFHUT,03:00
KBTL,BEADLE SOUTH DAKOTA,KBTL 010100Z AUTO 11016G21KT 10SM FEW019 OVC026 02/M01 A2971 RMK T00201010 MADISHFBTL,01:00
KODX,LOUP NEBRASKA,KODX 271800Z AUTO 20008KT 10SM CLR 03/M02 A3012 RMK T00301020 MADISHFODX,18:00
KMML,NORMAN MINNESOTA,KMML 010100Z AUTO 05019KT 2 1/2SM -SN BR OVC004 00/M01 A2942 RMK T00001010 MADISHFMML,01:00
KMKT,TRAVERSE MINNESOTA,KMKT 010100Z AUTO 07013KT 4SM -SN BR OVC007 01/01 A2940 RMK T00100010 MADISHFMKT,01:00
KDDH,BENNINGTON VERMONT,KDDH 291600Z AUTO 00000KT 10SM CLR 02/M03 A3020 RMK T00201030 MADISHFDDH,16:00
KMSN,DOOR WISCONSIN,KMSN 010100Z AUTO 11013KT 2 1/2SM -RA BR OVC007 02/02 A2947 RMK T00200020  OCNL LTGIC OHD TS OHD MOV NE MADISHFMSN,01:00
KMML,NORMAN MINNESOTA,KMML 280600Z AUTO 14007KT 10SM BKN085 OVC100 M01/M03 A3006 RMK T10101030 MADISHFMML,06:00
KIMT,FLORENCE WISCONSIN,KIMT 010100Z AUTO 08007KT 7SM UP OVC012 M02/M05 A2975 RMK P0000 T10201050 WND 05V12  MADISHFIMT,01:00
KLBF,LOGAN NEBRASKA,KLBF 271800Z AUTO 00000KT 10SM OVC079 01/M02 RMK T00101020 MADISHFLBF,18:00
KMTW,KEWAUNEE WISCONSIN,KMTW 010100Z AUTO 10022KT 10SM -RA OVC009 01/00 A2963 RMK T00100000 CIG 7V12  MADISHFMTW,01:00
KPKD,HUBBARD MINNESOTA,KPKD 010100Z AUTO 05011G21KT 3SM -SN BR SCT014 BKN025 OVC085 M03/M05 A2965 RMK T10301050 WND 02V08  MADISHFPKD,01:00
KLNK,LINCOLN NEBRASKA,KLNK 271800Z AUTO 20009KT 10SM CLR 03/M02 A3025 RMK T00301020 MADISHFLNK,18:00
KSUE,LINCOLN WISCONSIN,KSUE 010100Z AUTO 09014KT 1SM -SN BR SCT016 OVC038 00/M01 A2971 RMK P0000 T00001010 MADISHFSUE,01:00
KMTW,MANITOWOC WISCONSIN,KMTW 010100Z AUTO 10022KT 10SM -RA OVC009 01/00 A2963 RMK T00100000 CIG 7V12  MADISHFMTW,01:00
KHLC,PHILLIPS KANSAS,KHLC 260800Z AUTO 06014G19KT 10SM CLR 01/M03 RMK T00101030 MADISHFHLC,08:00
KAUW,MARATHON WISCONSIN,KAUW 010100Z AUTO 10013G20KT 6SM -FZRA BR OVC011 M01/M02 A2956 RMK T10101020 MADISHFAUW,01:00
KMML,NORMAN MINNESOTA,KMML 081850Z AUTO 36010KT 5SM BR OVC004 M02/M03 A2979 RMK T10201030 MADISHFMML,18:52
KPKD,HUBBARD MINNESOTA,KPKD 280600Z AUTO 16007KT 1/2SM FZFG VV002 M08/M10 A3004 RMK T10801100 MADISHFPKD,06:00
KCXY,BERKS PENNSYLVANIA,KCXY 161700Z AUTO 00000KT 8SM BKN019 OVC032 02/M03 A3022 RMK T00201030 MADISHFCXY,17:00
KMPO,LEHIGH PENNSYLVANIA,KMPO 161800Z AUTO 11002KT 10SM SCT016 OVC041 M03/M06 A3013 RMK T10301060 MADISHFMPO,18:00
KGRB,ONEIDA WISCONSIN,KGRB 010100Z AUTO 09013G19KT 4SM RA BR BKN014 OVC021 01/M01 A2965 RMK P0000 T00101010 MADISHFGRB,01:00
KHUT,MCPHERSON SOUTH DAKOTA,KHUT 010100Z AUTO 29019G27KT 10SM CLR 03/M06 A2965 RMK T00301060 MADISHFHUT,01:00
KCMX,ONTONAGON MICHIGAN,KCMX 010100Z AUTO 09016KT 10SM BKN019 OVC025 M02/M06 A2984 RMK T10201060 MADISHFCMX,01:00
KEAU,RUSK WISCONSIN,KEAU 300100Z AUTO 09007KT 10SM OVC028 00/M03 A3020 RMK T00001030 MADISHFEAU,01:00
KMML,NORMAN MINNESOTA,KMML 300100Z AUTO 11011KT 4SM -SN BR OVC004 M01/M02 A3005 RMK T10101020 MADISHFMML,01:00
KHTL,ALGER MICHIGAN,KHTL 070100Z AUTO 29004KT 2SM -SN BR BKN008 BKN023 OVC027 M02/M03 A3023 RMK T10201030 MADISHFHTL,01:00
KHIB,SCOTT MINNESOTA,KHIB 261900Z AUTO 06005KT 10SM FEW018 OVC030 M01/M05 A2989 RMK T10101050 MADISHFHIB,19:00
KMKT,TRAVERSE MINNESOTA,KMKT 292200Z AUTO 11008KT 6SM UP BR OVC009 M01/M01 A3019 RMK P0000 T10101010 CIG 7V12  MADISHFMKT,22:00
KPKD,HUBBARD MINNESOTA,KPKD 300100Z AUTO 11008KT 10SM OVC011 M02/M04 A3012 RMK T10201040 MADISHFPKD,01:00
KCMX,ONTONAGON MICHIGAN,KCMX 270100Z AUTO 06005KT 10SM BKN009 OVC032 M01/M03 A2992 RMK T10101030 MADISHFCMX,01:00
KCMX,BARAGA MICHIGAN,KCMX 270100Z AUTO 06005KT 10SM BKN009 OVC032 M01/M03 A2992 RMK T10101030 MADISHFCMX,01:00
KBTV,ESSEX VERMONT,KBTV 111800Z AUTO 33009KT 6SM -SN SCT039 BKN048 OVC055 M02/M06 A3020 RMK T10201060 MADISHFBTV,18:00
KHTL,ALGER MICHIGAN,KHTL 270300Z AUTO 08009KT 10SM OVC032 02/M01 A2980 RMK T00201010 MADISHFHTL,03:00
KOMA,GARDEN NEBRASKA,KOMA 252000Z AUTO 32011KT 10SM 12/M01 A2968 RMK T01201010 MADISHFOMA,20:00
KMSN,PIERCE WISCONSIN,KMSN 262000Z AUTO 08010KT 10SM BKN026 BKN090 BKN110 06/00 A2977 RMK T00600000 MADISHFMSN,20:00
KFCM,CARVER MINNESOTA,KFCM 261900Z AUTO 07008KT 10SM BKN075 OVC090 02/M05 A2984 RMK T00201050 MADISHFFCM,19:00
KEAU,RUSK WISCONSIN,KEAU 262200Z AUTO 04014G20KT 10SM SCT110 03/M03 A2973 RMK T00301030 MADISHFEAU,22:00
KIML,CHASE NEBRASKA,KIML 252000Z AUTO 02009G15KT 10SM CLR 09/M09 A2970 RMK T00901090 MADISHFIML,20:00
KMCK,HAYES NEBRASKA,KMCK 260100Z AUTO 08005KT 10SM CLR 05/M06 A2970 RMK T00501060 MADISHFMCK,01:00
KOFK,MADISON NEBRASKA,KOFK 261300Z AUTO 03010KT 10SM OVC024 01/M02 A2970 RMK T00101020 MADISHFOFK,13:00
KOFK,PIERCE NEBRASKA,KOFK 261300Z AUTO 03010KT 10SM OVC024 01/M02 A2970 RMK T00101020 MADISHFOFK,13:00
KLSE,DAKOTA MINNESOTA,KLSE 261900Z AUTO 02009KT 10SM FEW027 06/M02 A2979 RMK T00601020 MADISHFLSE,19:00
KLBF,LOGAN NEBRASKA,KLBF 260100Z AUTO 07009KT 10SM OVC075 06/M07 RMK T00601070 MADISHFLBF,01:00
KOLU,PLATTE NEBRASKA,KOLU 261000Z AUTO 04005KT 10SM BKN120 M02/M03 A2977 RMK T10201030 MADISHFOLU,10:00
KOFK,STANTON NEBRASKA,KOFK 261300Z AUTO 03010KT 10SM OVC024 01/M02 A2970 RMK T00101020 MADISHFOFK,13:00
KHSI,BLAINE NEBRASKA,KHSI 260100Z AUTO 05005KT 10SM CLR 04/M04 A2976 RMK T00401040 MADISHFHSI,01:00
KTOR,MORRILL NEBRASKA,KTOR 300100Z AUTO 11014KT 3SM BR OVC004 M01/M02 A2950 RMK T10101020 MADISHFTOR,01:00
KMSN,VILAS WISCONSIN,KMSN 262200Z AUTO 08011KT 10SM OVC075 05/00 A2971 RMK T00500000 MADISHFMSN,22:00
KHUT,MCPHERSON SOUTH DAKOTA,KHUT 292100Z AUTO 14011G20KT 8SM OVC004 06/05 A2987 RMK T00600050 MADISHFHUT,21:00
KGRB,ONEIDA WISCONSIN,KGRB 262200Z AUTO 05011KT 10SM OVC029 04/00 A2985 RMK T00400000 MADISHFGRB,22:00
KIMT,FLORENCE WISCONSIN,KIMT 262200Z AUTO 04002KT 10SM OVC024 02/M04 A2987 RMK T00201040 MADISHFIMT,22:00
KDKK,CATTARAUGUS NEW YORK,KDKK 111200Z AUTO 05010KT 10SM OVC014 01/M01 A3012 RMK T00101010 MADISHFDKK,12:00
KHTL,ALGER MICHIGAN,KHTL 102000Z AUTO 36007KT 10SM OVC038 01/M07 A3000 RMK T00101070 MADISHFHTL,20:00
KSUE,LINCOLN WISCONSIN,KSUE 262200Z AUTO 06005KT 10SM OVC028 04/01 A2987 RMK T00400010 MADISHFSUE,22:00
KAUW,MARATHON WISCONSIN,KAUW 262200Z AUTO 06005KT 10SM FEW029 OVC090 03/M03 A2978 RMK T00301030 MADISHFAUW,22:00
KMLT,LINCOLN MAINE,KMLT 300300Z AUTO 01007KT 10SM OVC038 M03/M11 A3020 RMK T10301110 MADISHFMLT,03:00
KBHB,KENNEBEC MAINE,KBHB 301100Z AUTO 02009KT 10SM CLR M04/M09 A3022 RMK T10401090 MADISHFBHB,11:00
KCPS,MADISON ILLINOIS,KCPS 151000Z AUTO 05005KT 10SM OVC120 M03/M07 A3006 RMK T10301070 MADISHFCPS,10:00
KCOU,CALLAWAY MISSOURI,KCOU 150830Z AUTO 02002KT 10SM OVC100 M03/M07 A3004 RMK T10301070 MADISHFCOU,08:30
